frequency[hz];phasevelocity[m/s];vel_min[m/s];vel_max[m/s]
6;627.199303830777;451.393222506394;969.781969309463
6.5;568.624142483865;450.749360613811;787.56905370844
7;510.048981136953;450.105498721228;605.356138107417
7.5;471.589555615057;419.717071611253;545.62084398977
8;437.072049821341;383.499840153453;509.886508951407
8.5;402.554544027625;347.282608695652;474.152173913043
9;387.155895897969;333.505434782609;450.901480111008
9.5;378.832525706576;328.032608695652;432.27058279371
10;370.509155515183;322.559782608696;413.639685476411
10.5;362.185785323791;317.086956521739;395.008788159112
11;355.04299911606;313.74885583524;380.858409610984
11.5;349.427711092202;313.172768878719;372.505148741419
12;343.812423068344;312.596681922197;364.151887871854
12.5;338.197135044486;312.020594965675;355.798627002288
13;329.865272246827;306.015575974899;346.68657552667
13.5;321.432691949831;299.809278350515;337.546391752577
14;313.000111652834;293.602980726132;328.406207978485
14.5;304.567531355838;287.396683101748;319.266024204393
15;300.304788941269;284.650955772114;314.547132683658
15.5;299.69162530648;284.934032983508;313.697901049475
16;299.078461671691;285.217110194903;312.848669415292
16.5;298.465298036902;285.500187406297;311.999437781109
17;297.852134402113;285.783264617691;311.150206146927
17.5;297.459844085178;285.881239935588;310.381239935588
18;297.789135666824;285.374496779388;309.874496779388
18.5;298.11842724847;284.867753623188;309.367753623188
19;298.447718830116;284.361010466989;308.861010466989
19.5;298.777010411762;283.854267310789;308.354267310789
20;299.34162121331;283.877377717391;308.274456521739
20.5;300.452980301366;285.131567028986;309.186594202899
21;301.564339389421;286.38575634058;310.098731884058
21.5;302.675698477476;287.639945652174;311.010869565217
22;303.787057565531;288.894134963768;311.923007246377
22.5;301.007783430434;285.462915601023;309.543691389599
23;297.869828358278;281.599744245524;306.860933503836
23.5;294.731873286122;277.736572890026;304.178175618073
24;291.593918213966;273.873401534527;301.49541773231
